,SUMLEV,COUNTY,NAME,POPESTIMATE2024
781,157,59,Garden Grove city,172361
782,157,59,Huntington Beach city,193151
783,157,59,Irvine city,318683
784,157,59,Laguna Beach city,22564
785,157,59,Laguna Hills city,30378
786,157,59,Laguna Niguel city,64185
787,157,59,Laguna Woods city,17058
788,157,59,La Habra city,61391
789,157,59,Lake Forest city,87159
790,157,59,La Palma city,15092
791,157,59,Los Alamitos city,11846
792,157,59,Mission Viejo city,91601
793,157,59,Newport Beach city,82970
794,157,59,Orange city,137941
795,157,59,Placentia city,53395
796,157,59,Rancho Santa Margarita city,46353
797,157,59,San Clemente city,62627
798,157,59,San Juan Capistrano city,35469
799,157,59,Santa Ana city,316184
800,157,59,Seal Beach city,24421
801,157,59,Stanton city,41188
802,157,59,Tustin city,78863
803,157,59,Villa Park city,5698
804,157,59,Westminster city,89537
805,157,59,Yorba Linda city,66489
806,157,59,Balance of Orange County,131266
807,50,61,Placer County,433822
808,157,61,Auburn city,13780
809,157,61,Colfax city,2058
810,157,61,Lincoln city,56268
811,157,61,Loomis town,6939
812,157,61,Rocklin city,75129
813,157,61,Roseville city,163304
814,157,61,Balance of Placer County,116344
815,50,63,Plumas County,18834
816,157,63,Portola city,2086
817,157,63,Balance of Plumas County,16748
818,50,65,Riverside County,2529933
819,157,65,Banning city,31929
820,157,65,Beaumont city,59502
821,157,65,Blythe city,17320
822,157,65,Calimesa city,11150
823,157,65,Canyon Lake city,11161
824,157,65,Cathedral City city,52517
825,157,65,Coachella city,45165
826,157,65,Corona city,161540
827,157,65,Desert Hot Springs city,33917
828,157,65,Eastvale city,70751
829,157,65,Hemet city,92912
830,157,65,Indian Wells city,4989
831,157,65,Indio city,94275
832,157,65,Jurupa Valley city,108154
833,157,65,Lake Elsinore city,73595
834,157,65,La Quinta city,39907
835,157,65,Menifee city,117041
836,157,65,Moreno Valley city,213919
837,157,65,Murrieta city,112539
838,157,65,Norco city,25400
839,157,65,Palm Desert city,53147
840,157,65,Palm Springs city,45453
841,157,65,Perris city,83032
842,157,65,Rancho Mirage city,18001
843,157,65,Riverside city,323757
844,157,65,San Jacinto city,55515
845,157,65,Temecula city,112431
846,157,65,Wildomar city,37736
847,157,65,Balance of Riverside County,423178
848,50,67,Sacramento County,1611231
849,157,67,Citrus Heights city,86909
850,157,67,Elk Grove city,182797
851,157,67,Folsom city,88091
852,157,67,Galt city,26589
853,157,67,Isleton city,781
854,157,67,Rancho Cordova city,84113
855,157,67,Sacramento city,535798
856,157,67,Balance of Sacramento County,606153
